KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
0137V0,21.88,,20260102,20250807,20260806
0107F0,16.38,,20260102,20250807,20260806
453080,13.9,22.53,20260102,20250807,20260806
460270,0.47,6.85,20260102,20250807,20260806
138230,0.48,5.12,20260102,20250807,20260806
225800,-2.13,7.54,20260102,20250807,20260806
139660,0.99,-3.66,20260102,20250807,20260806
230480,0.11,-9.98,20260102,20250807,20260806
0084E0,5.22,,20260102,20250807,20260806
373790,3.26,8.72,20260102,20250807,20260806
483030,7.99,32.49,20260102,20250807,20260806
459790,13.8,31.69,20260102,20250807,20260806
498270,16.41,39.66,20260102,20250807,20260806
474800,23.91,37.58,20260102,20250807,20260806
0084D0,8.69,17.17,20260102,20250807,20260806
104520,21.93,38.48,20260102,20250807,20260806
0015E0,-0.24,-0.19,20260102,20250807,20260806
483020,-27.71,2.15,20260102,20250807,20260806
200250,-13.45,-6.05,20260102,20250807,20260806
454780,-4.05,-9.06,20260102,20250807,20260806
454180,-12.83,-9.27,20260102,20250807,20260806
104530,13.86,19.79,20260102,20250807,20260806
496090,65.81,141.97,20260102,20250807,20260806
469790,86.73,213.61,20260102,20250807,20260806
316670,-13.91,1.57,20260102,20250807,20260806
291630,-44.2,-24.41,20260102,20250807,20260806
291620,-11.17,-26.26,20260102,20250807,20260806
153270,59.39,135.14,20260102,20250807,20260806
122260,1.35,-0.73,20260102,20250807,20260806
0015F0,-5.31,-6.68,20260102,20250807,20260806
0097L0,17.52,,20260102,20250807,20260806
069500,57.84,127.1,20260102,20250807,20260806
226980,9.58,18.44,20260102,20250807,20260806
337160,69.71,158.43,20260102,20250807,20260806
363580,109.06,281.58,20260102,20250807,20260806
278530,58.92,129.92,20260102,20250807,20260806
337150,23.61,57.39,20260102,20250807,20260806
223190,46.4,90.12,20260102,20250807,20260806
252650,19.49,30.44,20260102,20250807,20260806
360140,68.3,104.52,20260102,20250807,20260806
284430,18.28,40.69,20260102,20250807,20260806
252670,-83.42,-92.53,20260102,20250807,20260806
494890,57.23,126.98,20260102,20250807,20260806
498400,35.55,68.24,20260102,20250807,20260806
0117L0,1.55,,20260102,20250807,20260806
473290,1.21,0.05,20260102,20250807,20260806
0007F0,0.59,-0.93,20260102,20250807,20260806
0119H0,-0.05,,20260102,20250807,20260806
305720,-1.89,5.79,20260102,20250807,20260806
462330,-29.38,-24.68,20260102,20250807,20260806
461950,-11.85,4.12,20260102,20250807,20260806
457690,-2.04,-6.51,20260102,20250807,20260806
271060,3.4,5.57,20260102,20250807,20260806
457700,-16.97,-25.51,20260102,20250807,20260806
395160,83.0,228.13,20260102,20250807,20260806
471990,24.91,96.7,20260102,20250807,20260806
487240,44.47,106.17,20260102,20250807,20260806
481050,0.02,-0.03,20260102,20250807,20260806
459580,0.03,0.01,20260102,20250807,20260806
439860,-0.35,-2.15,20260102,20250807,20260806
266370,86.62,222.23,20260102,20250807,20260806
368680,-9.0,-3.31,20260102,20250807,20260806
423160,0.02,0.0,20260102,20250807,20260806
292190,50.27,113.71,20260102,20250807,20260806
306950,71.45,234.63,20260102,20250807,20260806
229720,46.46,89.4,20260102,20250807,20260806
266360,-23.61,-25.56,20260102,20250807,20260806
291890,14.51,27.96,20260102,20250807,20260806
289040,63.61,142.65,20260102,20250807,20260806
156080,61.15,140.36,20260102,20250807,20260806
278540,61.43,142.78,20260102,20250807,20260806
251350,10.17,24.79,20260102,20250807,20260806
269420,5.72,14.51,20260102,20250807,20260806
433970,4.06,7.65,20260102,20250807,20260806
433980,6.6,13.81,20260102,20250807,20260806
434060,5.97,15.49,20260102,20250807,20260806
0082V0,4.82,14.73,20260102,20250807,20260806
329650,-0.14,2.62,20260102,20250807,20260806
329660,3.24,9.03,20260102,20250807,20260806
329670,6.35,15.75,20260102,20250807,20260806
395170,32.63,76.56,20260102,20250807,20260806
315930,70.92,183.87,20260102,20250807,20260806
261220,56.26,43.33,20260102,20250807,20260806
271050,-47.33,-43.88,20260102,20250807,20260806
468370,-3.16,0.82,20260102,20250807,20260806
468630,-4.26,0.4,20260102,20250807,20260806
468380,-3.17,1.26,20260102,20250807,20260806
275290,66.53,138.86,20260102,20250807,20260806
117700,61.89,54.14,20260102,20250807,20260806
300950,-8.87,-20.0,20260102,20250807,20260806
266390,45.08,48.66,20260102,20250807,20260806
279530,25.14,33.74,20260102,20250807,20260806
132030,-5.35,19.45,20260102,20250807,20260806
280940,1.3,-21.21,20260102,20250807,20260806
138910,12.72,43.08,20260102,20250807,20260806
471230,-3.75,-8.76,20260102,20250807,20260806
439870,-19.38,-27.99,20260102,20250807,20260806
114260,0.14,-1.8,20260102,20250807,20260806
152380,-3.32,-8.02,20260102,20250807,20260806
176950,5.72,10.68,20260102,20250807,20260806
292770,2.13,3.68,20260102,20250807,20260806
276990,17.9,37.27,20260102,20250807,20260806
476070,-1.69,29.58,20260102,20250807,20260806
0064K0,-4.15,28.45,20260102,20250807,20260806
0089D0,25.02,,20260102,20250807,20260806
498410,1.06,-5.45,20260102,20250807,20260806
